iter	Passed	Remaining
187	238	1031
188	243	1043
189	244	1043
190	245	1040
191	246	1037
192	247	1034
193	249	1035
194	250	1032
195	251	1029
196	251	1026
197	252	1024
198	253	1021
199	254	1018
200	257	1024
201	259	1025
202	261	1025
203	263	1027
204	264	1026
205	265	1023
206	266	1020
207	267	1018
208	268	1015
209	269	1012
210	270	1010
211	274	1020
212	275	1017
213	276	1015
214	277	1012
215	278	1009
216	280	1010
217	281	1009
218	282	1007
219	283	1004
220	284	1002
221	285	999
222	286	998
223	290	1007
224	292	1007
225	294	1009
226	297	1011
227	298	1010
228	299	1009
229	301	1009
230	306	1020
231	308	1020
232	310	1021
233	311	1020
234	313	1020
235	314	1019
236	316	1018
237	318	1019
238	326	1041
239	328	1040
240	329	1037
241	330	1034
242	331	1032
243	332	1030
244	334	1030
245	339	1040
246	341	1040
247	343	1041
248	345	1041
249	388	1166
250	395	1181
251	400	1189
252	408	1206
253	412	1211
254	415	1213
255	421	1226
256	454	1313
257	456	1314
258	461	1319
259	463	1319
260	466	1319
261	470	1324
262	473	1325
263	476	1327
264	478	1328
265	481	1328
266	488	1340
267	491	1342
268	494	1342
269	496	1342
270	501	1348
271	506	1356
272	509	1357
273	512	1357
274	516	1361
275	519	1361
276	522	1364
277	525	1364
278	532	1376
279	537	1381
280	539	1381
281	542	1381
282	545	1381
283	549	1384
284	551	1384
285	555	1385
286	557	1385
287	560	1384
288	570	1404
289	573	1404
290	575	1401
291	577	1399
292	580	1401
293	582	1399
294	584	1396
295	585	1392
296	587	1389
297	588	1387
298	590	1384
299	616	1437
300	618	1437
301	624	1444
302	632	1454
303	635	1454
304	636	1450
305	638	1448
306	641	1448
307	645	1451
308	647	1447
309	648	1444
310	650	1440
311	653	1441
312	655	1439
313	657	1437
314	661	1438
315	663	1436
316	664	1431
317	665	1426
318	666	1422
319	667	1417
320	668	1413
321	669	1408
322	670	1404
323	671	1400
324	671	1395
325	672	1391
326	673	1386
327	675	1384
328	677	1381
329	678	1376
330	679	1372
331	680	1368
332	681	1364
333	681	1359
334	683	1356
335	684	1352
336	685	1348
337	686	1344
338	687	1340
339	688	1336
340	689	1332
341	690	1328
342	691	1324
343	692	1320
344	693	1315
345	694	1311
346	694	1307
347	695	1303
348	696	1299
349	697	1295
350	699	1294
351	701	1291
352	702	1288
353	704	1285
354	705	1282
355	706	1278
356	707	1274
357	708	1270
358	709	1266
359	710	1262
360	711	1258
361	712	1255
362	713	1251
363	713	1247
364	715	1245
365	717	1242
366	718	1238
367	719	1235
368	720	1232
369	721	1228
370	722	1224
371	723	1221
372	724	1217
373	725	1213
374	726	1210
375	726	1206
376	727	1202
377	728	1199
378	729	1195
379	731	1193
380	732	1190
381	733	1186
382	734	1183
383	735	1179
384	736	1176
385	737	1172
386	738	1169
387	739	1165
388	740	1162
389	741	1159
390	742	1157
391	744	1154
392	745	1150
393	748	1151
394	750	1149
395	751	1146
396	752	1142
397	753	1139
398	754	1136
399	755	1132
400	756	1129
401	756	1125
402	757	1122
403	758	1119
404	759	1115
405	760	1112
406	763	1111
407	765	1111
408	767	1109
409	768	1106
410	769	1102
411	770	1099
412	771	1096
413	772	1093
414	773	1089
415	774	1086
416	775	1083
417	775	1080
418	777	1078
419	778	1075
420	779	1072
421	780	1069
422	782	1066
423	782	1063
424	783	1060
425	784	1057
426	785	1054
427	786	1051
428	787	1048
429	788	1045
430	789	1042
431	790	1039
432	791	1036
433	792	1033
434	794	1031
435	795	1028
436	796	1025
437	797	1023
438	798	1020
439	799	1016
440	799	1014
441	800	1011
442	801	1008
443	802	1005
444	803	1002
445	804	999
446	805	996
447	806	993
448	807	991
449	809	989
450	810	986
451	811	984
452	813	982
453	815	981
454	816	978
455	817	975
456	818	972
457	819	970
458	820	967
459	821	964
460	822	961
461	823	959
462	826	958
463	828	956
464	829	954
465	831	952
466	832	949
467	833	947
468	834	944
469	834	941
470	835	938
471	836	936
472	837	933
473	838	930
474	839	927
475	842	927
476	845	926
477	850	928
478	852	927
479	855	926
480	859	927
481	863	927
482	864	925
483	865	923
484	866	920
485	867	917
486	868	915
487	869	912
488	870	909
489	871	907
490	875	907
491	877	905
492	878	903
493	879	900
494	880	898
495	881	895
496	882	892
497	883	890
498	884	887
499	884	884
500	885	882
501	886	879
502	887	877
503	889	875
504	891	873
505	892	871
506	893	868
507	894	865
508	895	863
509	895	860
510	896	858
511	897	855
512	898	853
513	899	850
514	900	848
515	901	845
516	902	843
517	903	840
518	904	838
519	906	836
520	907	834
521	908	831
522	909	829
523	910	827
524	911	824
525	912	822
526	913	819
527	914	817
528	915	814
529	916	812
530	917	810
531	918	807
532	918	805
533	920	803
534	922	802
535	923	799
536	924	797
537	925	794
538	926	792
539	927	790
540	928	787
541	929	785
542	930	783
543	931	780
544	932	778
545	933	775
546	934	773
547	935	771
548	937	770
549	939	768
550	940	766
551	942	765
552	944	763
553	945	761
554	946	759
555	948	757
556	949	755
557	952	754
558	954	753
559	956	751
560	957	749
561	958	747
562	960	745
563	961	743
564	962	741
565	964	739
566	965	737
567	968	736
568	971	735
569	973	734
570	974	732
571	976	730
572	977	728
573	978	726
574	980	724
575	981	722
576	984	721
577	986	720
578	987	718
579	989	716
580	990	714
581	992	712
582	993	710
583	994	708
584	996	706
585	997	704
586	998	702
587	1002	702
588	1003	700
589	1004	697
590	1005	695
591	1006	693
592	1007	691
593	1008	689
594	1009	687
595	1010	685
596	1011	683
597	1012	680
598	1013	678
599	1017	678
600	1018	676
601	1020	674
602	1021	672
603	1022	670
604	1023	668
605	1024	666
606	1025	663
607	1026	661
608	1027	659
609	1028	657
610	1029	655
611	1032	654
612	1034	652
613	1035	651
614	1036	649
615	1038	647
616	1039	645
617	1040	642
618	1041	640
619	1042	638
620	1043	636
621	1044	634
622	1045	632
623	1049	632
624	1051	630
625	1052	629
626	1054	627
627	1056	625
628	1057	623
629	1058	621
630	1059	619
631	1061	617
632	1064	617
633	1066	615
634	1069	614
635	1070	612
636	1072	610
637	1073	608
638	1074	607
639	1075	605
640	1076	603
641	1079	602
642	1082	600
643	1084	599
644	1085	597
645	1086	595
646	1086	593
647	1087	590
648	1088	588
649	1089	586
650	1091	584
651	1092	582
652	1093	580
653	1096	580
654	1098	578
655	1100	577
656	1101	575
657	1102	573
658	1103	571
659	1104	568
660	1105	567
661	1107	565
662	1108	563
663	1110	561
664	1114	561
665	1115	559
666	1118	558
667	1119	556
668	1120	554
669	1121	552
670	1122	550
671	1123	548
672	1124	546
673	1129	546
674	1131	544
675	1132	542
676	1133	540
677	1134	538
678	1135	536
679	1136	535
680	1137	533
681	1138	531
682	1139	529
683	1140	527
684	1144	526
685	1146	524
686	1147	522
687	1148	520
688	1149	518
689	1150	516
690	1151	514
691	1151	512
692	1152	510
693	1153	508
694	1154	506
695	1155	504
696	1156	502
697	1160	502
698	1162	500
699	1164	498
700	1165	497
701	1166	495
702	1167	493
703	1168	491
704	1169	489
705	1170	487
706	1171	485
707	1172	483
708	1175	482
709	1176	480
710	1178	478
711	1179	476
712	1179	474
713	1180	473
714	1182	471
715	1183	469
716	1184	467
717	1185	465
718	1186	463
719	1187	461
720	1188	459
721	1191	458
722	1193	457
723	1194	455
724	1195	453
725	1196	451
726	1197	449
727	1198	447
728	1198	445
729	1199	443
730	1200	441
731	1201	439
732	1202	438
733	1203	436
734	1207	435
735	1208	433
736	1209	431
737	1210	429
738	1211	427
739	1212	425
740	1213	424
741	1214	422
742	1215	420
743	1216	418
744	1217	416
745	1218	414
746	1219	412
747	1222	411
748	1224	410
749	1226	408
750	1228	407
751	1229	405
752	1230	403
753	1231	401
754	1232	399
755	1233	398
756	1234	396
757	1235	394
758	1239	393
759	1241	391
760	1245	391
761	1248	390
762	1251	388
763	1257	388
764	1260	387
765	1262	385
766	1264	384
767	1267	382
768	1272	382
769	1275	381
770	1277	379
771	1279	377
772	1281	376
773	1283	374
774	1290	374
775	1293	373
776	1295	371
777	1297	370
778	1299	368
779	1304	367
780	1307	366
781	1311	365
782	1312	363
783	1319	363
784	1321	361
785	1323	360
786	1326	358
787	1328	357
788	1331	356
789	1335	354
790	1337	353
791	1339	351
792	1341	350
793	1342	348
794	1343	346
795	1348	345
796	1350	343
797	1351	342
798	1353	340
799	1354	338
800	1355	336
801	1356	334
802	1357	333
803	1358	331
804	1359	329
805	1364	328
806	1365	326
807	1367	324
808	1368	323
809	1369	321
810	1371	319
811	1372	317
812	1373	316
813	1375	314
814	1377	312
815	1378	310
816	1379	309
817	1383	307
818	1385	306
819	1386	304
820	1387	302
821	1388	300
822	1389	298
823	1390	296
824	1391	295
825	1393	293
826	1394	291
827	1395	289
828	1397	288
829	1398	286
830	1399	284
831	1401	282
832	1402	281
833	1403	279
834	1404	277
835	1405	275
836	1406	273
837	1407	272
838	1410	270
839	1412	269
840	1414	267
841	1415	265
842	1416	263
843	1417	261
844	1417	260
845	1418	258
846	1419	256
847	1420	254
848	1421	252
849	1422	251
850	1426	249
851	1427	248
852	1428	246
853	1429	244
854	1430	242
855	1431	240
856	1432	239
857	1433	237
858	1434	235
859	1435	233
860	1436	231
861	1437	230
862	1438	228
863	1440	226
864	1441	225
865	1443	223
866	1445	221
867	1446	220
868	1447	218
869	1448	216
870	1449	214
871	1450	212
872	1451	211
873	1452	209
874	1453	207
875	1454	205
876	1457	204
877	1458	202
878	1460	200
879	1461	199
880	1462	197
881	1463	195
882	1464	194
883	1465	192
884	1466	190
885	1467	188
886	1468	187
887	1469	185
888	1470	183
889	1472	181
890	1473	180
891	1474	178
892	1476	176
893	1478	175
894	1479	173
895	1480	171
896	1481	170
897	1482	168
898	1483	166
899	1484	164
900	1485	163
901	1486	161
902	1488	159
903	1489	158
904	1490	156
905	1491	154
906	1492	153
907	1493	151
908	1494	149
909	1495	147
910	1496	146
911	1497	144
912	1498	142
913	1499	141
914	1500	139
915	1501	137
916	1502	135
917	1503	134
918	1504	132
919	1505	130
920	1506	129
921	1507	127
922	1508	125
923	1509	124
924	1510	122
925	1511	120
926	1512	119
927	1513	117
928	1514	115
929	1515	114
930	1516	112
931	1517	110
932	1518	109
933	1520	107
934	1521	105
935	1522	104
936	1523	102
937	1524	100
938	1525	99
939	1526	97
940	1527	95
941	1528	94
942	1529	92
943	1530	90
944	1530	89
945	1531	87
946	1532	85
947	1533	84
948	1535	82
949	1536	80
950	1537	79
951	1539	77
952	1540	75
953	1542	74
954	1543	72
955	1545	71
956	1546	69
957	1547	67
958	1549	66
959	1553	64
960	1554	63
961	1556	61
962	1557	59
963	1559	58
964	1560	56
965	1561	54
966	1562	53
967	1563	51
968	1564	50
969	1565	48
970	1569	46
971	1570	45
972	1571	43
973	1572	41
974	1573	40
975	1574	38
976	1575	37
977	1576	35
978	1577	33
979	1578	32
980	1579	30
981	1580	28
982	1581	27
983	1583	25
984	1585	24
985	1586	22
986	1586	20
987	1587	19
988	1588	17
989	1590	16
990	1591	14
991	1592	12
992	1593	11
993	1594	9
994	1595	8
995	1596	6
996	1597	4
997	1600	3
998	1601	1
999	1603	0
